Data Filename;Sample Name;Sample ID;Crotonate;Acetate;Propionate;3-Hydroxybutyrate;Methylsuccinate;Ethylmalonate;Mesaconate;2-Hydroxy-3-Methylsuccinate;Succinate;Methylmalonat;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\ab 96\162.lcd;;;6.223;;;3.910;4.751;;8.759;9.251;4.228;6.371;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\ab 96\163.lcd;;;6.653;;;4.848;6.902;;4.242;10.041;;5.425;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\ab 96\164.lcd;;;5.050;;;3.230;4.683;;14.590;10.089;9.786;5.930;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\ab 96\165.lcd;;;6.853;;;4.356;108.961;;93.531;10.915;145.799;6.323;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\ab 96\166.lcd;;;5.909;;;3.551;47.409;;8.934;10.198;4.774;6.144;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\ab 96\167.lcd;;;4.924;;;3.542;56.501;;19.712;10.408;5.457;5.911;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\ab 96\168.lcd;;;4.989;;;3.081;45.111;;19.281;9.460;13.419;6.184;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\ab 96\169.lcd;;;5.618;;;3.661;218.178;;240.028;12.474;;6.417;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\ab 96\170.lcd;;;5.358;;;3.657;113.460;;104.605;11.409;;6.068;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\ab 96\171.lcd;;;5.537;;;3.967;186.865;;196.799;11.982;4.839;6.459;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\ab 96\172.lcd;;;;;;3.467;4.789;;4.829;9.808;;5.656;
